tenure_months,monthly_charges,total_charges,contract_type,support_calls,is_senior_citizen,has_tech_support,churn
58,107.51,5320.52,0,3,1,1,1
13,81.02,1098.34,0,2,0,1,0
33,64.39,2152.82,0,0,0,0,0
9,113.59,1016.9,0,1,0,0,1
50,105.4,5395.52,2,1,0,1,1
34,52.22,1831.16,0,2,0,1,1
24,74.45,1639.39,0,2,0,1,0
16,68.98,1072.99,0,1,0,0,1
41,83.22,3315.67,0,3,0,1,1
48,53.41,2316.18,1,1,0,0,0
68,44.42,2701.56,0,3,0,0,1
31,111.27,3010.55,1,0,0,1,1
11,112.39,1213.87,0,0,0,1,1
60,104.33,6298.51,0,3,0,0,0
45,117.82,5313.51,2,2,0,0,1
51,94.5,4401.43,0,2,0,0,0
7,96.47,601.72,1,0,0,0,1
22,96.26,1992.19,0,0,0,0,1
56,68.06,3656.48,2,0,0,1,0
60,65.65,4072.21,0,1,0,0,0
31,44.02,1398.69,0,1,0,1,0
58,84.48,5062.57,1,0,0,0,0
61,48.93,3044.58,0,1,0,0,1
28,45.78,1336.85,0,2,0,0,0
65,78.6,4818.3,2,0,0,0,0
21,61.0,1101.01,1,2,1,1,1
17,41.89,617.21,1,2,1,1,0
49,101.61,4620.68,1,2,0,1,1
46,106.06,4398.38,2,5,0,0,1
10,36.77,325.04,2,3,0,1,0
60,20.75,1295.6,1,3,0,1,0
14,53.61,667.29,0,3,1,0,1
58,99.75,6027.77,0,3,0,1,1
0,103.92,0.0,1,1,0,1,0
58,33.83,1919.34,2,1,0,1,0
57,97.43,5471.34,0,4,0,1,1
56,31.57,1619.94,0,1,1,1,0
48,59.01,2773.81,0,2,0,0,1
34,119.86,3616.12,0,3,0,1,1
51,39.26,2077.43,2,0,0,1,0
20,35.4,644.53,0,0,0,0,0
56,62.28,3142.53,1,3,0,1,0
40,81.97,3253.33,1,1,0,1,1
33,113.29,3668.62,2,1,0,0,0
36,118.08,3996.93,0,1,1,1,1
41,26.96,1079.37,2,3,0,1,0
2,33.8,59.62,1,3,0,1,1
10,99.07,975.51,1,2,0,1,1
17,47.06,723.32,0,1,0,0,1
8,108.48,785.02,0,1,0,1,1
32,86.35,2438.35,1,1,0,1,1
48,31.18,1371.63,0,1,0,1,1
47,103.25,4446.33,0,1,0,0,1
34,37.64,1204.04,1,0,1,0,1
62,62.35,3433.07,1,3,0,1,0
41,75.22,2740.46,0,0,0,0,1
5,70.08,335.81,0,0,0,0,1
55,88.62,4268.62,0,3,0,1,0
41,85.27,3453.35,2,2,1,1,1
46,119.2,5695.89,2,1,0,1,0
41,119.94,4599.67,0,2,0,1,1
40,71.65,2952.61,0,3,1,1,0
6,29.52,154.03,0,0,0,0,0
40,92.78,3186.4,0,2,0,1,1
58,117.67,6785.78,2,1,0,1,0
22,51.83,1142.77,0,1,0,1,1
44,66.12,2963.43,0,1,0,0,0
2,62.48,107.64,0,1,0,0,0
25,25.14,631.88,0,0,0,1,0
31,87.23,2502.15,2,0,1,1,0
71,55.33,3577.49,1,3,0,1,0
15,98.75,1310.32,1,1,0,1,1
20,103.21,2165.77,0,1,0,1,1
29,102.12,2554.97,2,4,1,0,1
72,61.67,4508.63,0,0,0,1,0
62,52.15,3161.84,2,0,0,1,0
2,94.88,189.19,2,3,1,0,1
17,100.14,1689.35,0,3,0,0,1
59,69.13,4167.12,2,0,0,1,0
4,109.3,387.69,0,0,1,1,1
62,34.39,1812.7,1,2,0,0,0
20,107.91,2092.82,0,1,0,0,1
66,29.61,1799.43,0,1,0,0,0
21,35.35,649.38,0,0,0,1,0
31,73.38,2018.25,0,2,1,1,1
48,26.75,1176.59,0,0,0,0,0
9,25.28,196.59,0,1,0,1,1
40,20.05,690.83,1,0,0,0,0
36,63.63,2366.74,0,0,0,0,0
57,97.46,5068.7,0,3,0,0,0
72,23.48,1769.08,2,3,0,1,0
48,85.23,4266.44,2,1,0,1,0
29,102.31,2606.54,0,2,0,0,0
29,36.8,1059.71,0,3,0,1,1
30,34.69,1009.65,1,2,0,1,0
59,106.08,6184.43,1,3,0,1,0
23,102.31,2045.43,0,2,0,1,1
12,73.89,787.12,1,0,0,1,0
24,101.92,2116.66,0,0,0,0,1
1,29.28,28.43,0,1,0,0,1
7,59.45,435.84,1,1,0,1,0
6,93.78,553.9,1,1,0,1,1
56,45.75,2541.89,2,4,1,1,0
52,95.23,5184.29,0,0,0,1,0
50,70.42,3470.31,0,0,0,1,0
33,95.03,2690.79,0,1,1,1,0
52,66.47,3537.32,0,1,0,1,0
11,56.79,576.55,0,4,0,0,1
65,41.92,2318.46,0,0,0,1,0
36,40.84,1398.86,0,2,0,1,1
68,95.15,6712.2,1,2,0,0,0
11,31.89,316.23,0,1,0,0,1
36,28.6,976.37,0,4,0,1,0
50,37.63,1664.67,1,0,0,1,0
36,37.53,1164.01,0,2,0,0,1
32,102.31,2835.57,2,0,1,0,1
12,59.85,714.9,0,2,0,0,1
27,119.04,3287.41,0,0,0,0,1
17,33.72,503.68,2,0,0,1,0
22,85.35,1704.32,1,2,0,1,1
49,64.87,2825.82,1,2,1,1,0
46,59.29,2332.89,1,1,0,0,0
44,107.51,4544.47,0,1,0,0,1
26,117.56,3025.95,1,2,0,0,1
70,107.29,7356.91,2,3,0,1,0
6,39.23,218.34,2,1,0,1,0
25,42.08,1010.97,0,0,0,0,0
8,85.61,595.04,0,0,0,1,1
24,48.91,1033.99,1,0,0,0,0
70,93.47,6780.79,0,3,0,0,1
26,76.64,1997.23,0,2,1,1,1
66,75.09,5127.16,0,2,0,0,1
36,102.85,3826.03,0,2,0,1,1
51,91.05,4550.11,0,2,1,0,0
33,22.66,774.44,0,4,0,1,1
19,24.95,442.45,0,1,0,0,1
55,80.16,3750.67,0,3,1,0,0
70,68.62,4143.0,2,2,1,0,0
19,46.02,762.37,0,0,0,1,1
56,61.87,3011.09,0,1,0,1,1
19,95.79,1675.03,0,0,1,1,1
52,102.66,5286.29,0,0,0,0,1
57,76.12,4374.11,2,1,0,0,0
32,58.54,1813.41,2,2,0,0,0
53,47.07,2193.57,0,0,0,1,0
19,72.19,1371.03,0,0,0,0,1
5,51.47,237.01,0,1,1,0,1
7,76.41,456.03,0,2,0,1,1
32,87.67,2542.06,0,1,0,1,0
65,26.61,1584.57,0,2,0,0,1
9,20.11,163.77,0,3,0,0,1
33,41.23,1377.43,1,1,0,0,0
51,109.45,5593.03,0,0,0,1,1
14,84.63,1171.92,0,0,0,0,1
52,37.2,1698.02,0,2,0,1,0
22,109.03,2426.4,0,0,0,0,1
59,67.0,3895.43,0,2,0,1,0
42,67.61,2524.33,0,4,1,1,0
39,113.55,4338.19,0,0,0,0,1
12,25.95,294.8,0,1,0,0,0
33,41.52,1285.03,2,1,0,0,0
62,78.58,4250.42,2,5,0,1,1
1,39.55,37.72,0,1,0,1,0
55,87.95,4208.34,0,2,0,1,0
35,41.41,1279.56,1,0,0,0,1
52,29.92,1363.71,1,1,0,0,0
48,40.7,2033.35,0,1,0,1,1
31,62.27,1750.79,0,2,0,1,0
22,37.61,762.09,0,0,0,1,0
45,33.47,1377.25,1,3,0,1,1
10,106.03,1091.74,0,5,0,1,1
42,52.04,2103.92,0,2,0,1,1
6,56.08,347.86,0,6,1,1,1
47,25.53,1091.9,0,0,0,1,0
45,55.74,2189.66,0,2,0,1,0
6,46.48,268.07,1,2,0,1,1
55,81.05,4097.15,0,2,0,0,1
30,40.54,1228.83,0,3,0,1,1
57,108.84,6364.47,0,1,1,1,0
3,112.97,320.11,2,0,0,0,1
13,29.98,406.99,0,1,0,1,0
36,30.74,1063.04,0,2,0,0,0
13,31.53,370.62,0,4,0,0,0
24,81.96,1864.35,2,0,1,0,0
48,32.2,1325.29,1,0,1,1,0
10,105.24,1063.77,2,3,0,1,1
49,95.43,4069.52,1,0,0,1,0
7,101.98,650.86,0,2,0,0,1
12,72.61,839.14,0,1,0,1,0
42,119.67,4315.42,0,0,0,0,1
57,24.42,1205.23,1,1,1,0,0
12,60.13,713.78,1,2,0,0,0
21,52.39,950.96,0,1,0,1,0
67,114.86,7275.57,2,0,0,0,0
72,77.69,5133.54,0,3,0,1,0
42,100.62,3784.91,0,3,0,1,0
32,37.03,1051.96,0,1,0,0,0
25,117.86,2954.4,2,2,0,1,1
44,69.86,3197.74,2,3,1,0,0
43,69.37,2619.1,0,2,0,0,1
21,117.09,2562.01,2,1,0,0,1
1,58.07,56.27,2,6,0,1,1
11,59.75,643.01,2,0,0,1,0
69,78.48,5371.72,2,3,0,1,0
30,32.81,975.27,0,1,1,1,1
35,52.11,1849.31,1,1,0,0,0
34,39.32,1265.62,1,1,0,1,0
57,30.33,1653.9,1,1,0,0,0
4,106.61,390.09,0,1,0,0,1
6,78.93,412.51,1,1,0,1,1
20,55.87,1098.32,2,2,0,0,1
35,60.87,1825.2,0,1,0,0,1
48,63.15,2743.62,2,0,1,0,0
35,83.31,2533.42,0,1,0,0,0
32,112.68,3202.44,0,3,0,1,1
68,113.28,7531.62,0,1,0,0,0
11,59.15,634.84,1,0,0,1,1
41,52.93,2027.36,1,3,0,0,0
39,65.1,2203.85,0,0,1,1,1
34,76.79,2445.53,1,1,0,1,0
58,66.18,3533.47,0,2,0,1,0
19,85.88,1622.08,0,0,1,1,1
69,75.44,5027.36,2,1,0,1,0
24,52.07,1185.09,1,0,0,1,1
39,54.57,2016.28,1,2,0,1,0
38,57.86,2293.79,1,1,0,0,0
62,29.46,1828.82,2,2,0,0,0
32,36.61,1112.24,0,0,0,1,1
20,92.31,1746.22,0,2,0,0,1
1,58.91,50.39,0,4,0,0,1
26,41.45,1119.19,1,1,0,1,1
60,76.27,4181.89,1,2,0,0,0
0,95.55,0.0,1,4,0,0,1
65,45.74,3121.4,0,0,0,1,1
39,102.68,3979.44,0,1,0,0,1
10,112.75,969.06,1,2,0,0,1
22,79.74,1512.85,2,1,0,0,0
40,86.89,2971.99,0,0,0,0,1
23,25.26,563.51,0,3,0,0,1
7,114.55,693.05,0,0,0,1,1
48,59.25,2948.31,0,0,0,0,0
49,112.39,5712.97,0,0,0,0,1
8,77.9,597.78,0,3,0,1,1
20,20.46,398.29,1,1,1,0,0
17,23.85,368.3,0,2,0,0,1
48,88.04,3646.1,0,1,1,0,1
53,76.27,4032.17,0,3,0,0,0
53,22.65,1044.82,2,1,0,0,0
68,94.35,5563.21,0,2,0,0,1
56,105.21,5374.73,0,2,0,1,0
23,69.64,1365.46,0,1,1,1,1
7,66.58,436.61,1,1,0,1,0
44,20.55,896.55,2,0,1,0,0
66,98.66,6578.43,0,2,0,1,1
71,53.07,3658.18,0,0,0,1,0
16,107.88,1759.52,0,2,0,0,1
17,57.31,907.34,1,1,0,1,1
2,76.51,156.04,2,0,0,1,0
10,47.03,447.39,0,2,1,0,1
40,36.06,1290.38,0,1,0,1,0
39,97.49,3949.74,1,3,1,0,1
27,69.66,1702.13,1,2,1,0,1
22,73.65,1385.75,0,2,0,0,0
60,116.54,6282.91,0,1,0,0,1
33,116.36,3545.51,0,1,0,1,0
59,105.56,5731.48,1,2,0,1,0
70,38.76,2590.93,1,2,1,0,0
23,79.43,1875.53,1,1,1,1,0
14,107.81,1371.19,2,2,1,1,1
69,57.45,3782.31,0,1,0,1,0
46,30.11,1271.52,0,1,0,1,1
21,101.1,2153.58,0,1,0,1,0
45,68.18,2704.59,2,1,1,1,0
37,76.44,2462.59,1,3,0,0,1
66,118.21,7416.44,0,1,0,1,1
18,80.72,1430.26,0,1,0,0,1
72,62.5,4540.97,1,1,0,0,0
68,57.0,3751.68,1,2,0,0,0
13,61.76,806.71,1,0,0,0,1
12,31.84,354.78,0,2,1,1,1
38,99.48,3238.05,2,0,0,1,0
3,103.77,271.84,1,0,0,0,1
21,48.44,872.53,1,2,0,1,1
31,50.38,1430.26,1,0,0,0,0
70,107.43,7137.31,2,1,0,1,1
72,22.4,1485.81,2,1,0,0,0
11,72.05,762.53,1,4,0,0,1
65,66.37,4081.62,0,0,0,1,0
6,89.01,526.36,0,2,0,1,1
54,36.34,1929.77,2,1,0,0,0
61,86.83,4839.07,1,0,0,0,0
65,57.67,3445.83,0,4,0,0,0
16,81.87,1266.73,0,0,0,1,1
65,24.01,1512.72,2,2,0,0,0
8,66.17,483.27,2,0,0,0,0
37,72.23,2448.19,2,2,0,1,1
34,41.43,1392.86,0,4,0,1,0
23,33.96,765.05,1,3,0,0,1
1,38.85,34.07,2,1,0,1,1
56,54.41,2858.68,0,5,0,0,0
24,29.68,732.65,0,3,0,0,0
48,114.73,4720.97,2,3,0,1,0
29,60.5,1791.4,0,0,0,0,1
27,100.9,2404.56,1,1,0,0,1
64,117.44,7151.25,1,1,0,1,0
6,28.07,157.45,1,1,0,1,0
53,85.17,3846.05,0,0,1,1,1
54,107.14,5976.94,1,1,0,1,0
27,83.42,2119.42,0,0,0,0,0
19,62.9,1243.92,2,1,0,1,0
0,63.11,0.0,0,1,0,0,1
68,23.59,1641.42,1,2,0,1,0
69,73.46,5243.5,1,1,0,0,0
17,119.35,1950.56,0,2,0,0,1
2,115.87,206.37,0,4,1,0,1
8,24.04,189.83,1,2,1,1,1
4,90.58,347.75,0,1,0,0,1
60,50.18,3127.94,0,1,1,1,1
65,110.3,6723.95,0,1,1,1,1
11,24.51,243.65,2,1,0,1,0
54,113.59,5383.43,1,3,0,0,1
13,103.75,1334.89,0,0,0,0,1
26,31.75,862.5,2,1,0,1,0
43,25.98,955.9,0,1,0,1,0
52,103.47,5370.16,0,6,0,0,1
63,35.58,2320.86,0,4,0,1,0
3,73.49,190.7,0,6,0,0,1
14,111.57,1362.1,0,1,0,0,1
20,76.74,1516.98,1,1,0,0,0
22,59.72,1287.03,0,1,1,0,1
72,64.5,4011.33,1,3,1,0,1
56,26.31,1498.24,0,0,0,1,0
23,116.88,2566.42,0,4,0,0,1
70,51.07,3687.29,0,4,1,1,0
36,38.94,1437.72,1,0,0,1,0
36,48.6,1771.47,1,1,1,1,1
31,116.44,3440.64,0,2,0,0,1
10,29.43,264.97,0,0,0,1,1
68,106.73,6903.43,0,2,0,0,0
1,90.78,78.99,2,1,0,1,0
12,103.0,1213.47,0,3,0,0,1
16,117.59,1649.64,1,1,0,1,0
20,104.22,1984.84,0,1,1,0,0
9,114.34,885.89,0,0,0,1,1
1,32.69,29.74,1,2,0,0,1
49,99.58,4373.99,0,0,0,0,1
70,74.57,5084.22,0,1,0,1,0
8,74.35,599.18,2,2,0,0,0
21,109.89,1987.98,0,1,0,1,0
36,117.18,4303.09,0,4,0,1,1
67,90.48,6196.46,0,5,0,1,1
50,68.29,3136.06,0,1,0,1,0
55,65.64,3544.5,1,2,0,1,0
42,58.63,2291.37,0,3,0,1,0
30,56.16,1484.04,2,0,0,0,0
14,59.15,791.44,1,1,0,1,0
63,28.98,1583.41,2,2,0,1,1
58,27.74,1650.26,2,1,1,0,0
1,97.99,101.41,2,2,0,0,1
52,64.61,3407.84,1,3,0,0,1
6,113.07,652.98,0,1,0,1,1
53,81.22,4139.02,0,1,0,0,1
60,23.52,1477.42,1,2,0,1,0
9,35.75,289.44,0,1,0,1,1
31,40.58,1088.39,1,1,0,1,0
9,117.57,1018.33,0,2,0,0,1
41,41.87,1572.05,2,1,1,1,1
67,71.58,4385.66,0,2,0,1,0
5,113.62,483.69,2,0,0,0,0
29,117.72,3308.9,0,0,0,0,1
71,43.64,2797.29,0,3,0,0,0
21,24.91,464.3,2,1,0,1,0
9,35.36,273.08,2,2,0,0,1
35,26.33,850.47,1,2,0,0,0
37,39.51,1499.58,2,0,0,0,1
48,76.86,3384.3,0,2,0,0,0
22,111.24,2412.56,2,2,0,0,0
69,73.72,5093.34,0,2,0,1,1
38,82.6,2873.95,0,2,0,0,1
20,40.19,815.32,0,2,0,1,1
70,100.06,6922.78,0,4,1,0,1
67,81.78,5270.22,1,2,0,0,1
36,106.41,3256.91,1,2,1,1,0
1,114.88,98.45,0,1,0,1,1
43,54.79,2469.46,2,1,0,1,0
40,29.06,1169.91,0,1,0,0,1
10,42.59,441.88,0,0,0,1,0
46,63.78,3023.25,1,1,0,1,0
61,114.57,5969.03,0,2,0,0,0
7,57.83,408.2,0,4,0,1,1
52,97.08,4746.43,1,1,1,0,1
10,74.05,746.36,0,1,0,0,0
54,38.28,1759.83,0,1,0,1,0
30,52.07,1417.82,1,2,0,1,1
0,85.32,0.0,0,1,0,1,1
70,87.29,6162.87,2,3,0,1,0
12,63.48,741.91,1,1,0,0,1
43,42.86,1677.57,0,3,1,1,0
13,92.19,1093.09,0,1,0,1,0
68,36.89,2617.27,0,2,0,0,0
53,113.67,5650.04,1,2,0,0,1
58,38.79,2113.54,0,2,0,1,0
31,30.73,914.97,2,2,0,0,0
34,69.76,2210.32,0,4,0,1,1
46,71.95,3179.08,1,1,0,0,0
57,70.82,3780.27,0,0,1,1,0
61,63.67,3943.46,0,2,0,1,0
1,119.48,123.28,0,1,0,1,1
48,68.63,3414.22,1,1,0,1,0
7,67.79,456.91,2,4,0,0,0
21,62.18,1225.38,0,1,1,1,1
60,26.68,1586.47,0,0,0,1,0
18,79.3,1452.61,0,2,0,1,1
58,42.8,2389.55,0,2,0,1,0
33,83.76,2736.43,2,2,0,1,0
16,25.08,401.26,2,0,0,1,0
24,118.14,2793.62,2,1,0,1,0
38,66.9,2540.23,0,2,0,1,1
55,109.68,5379.27,0,0,0,1,1
44,67.56,2823.04,1,3,0,0,1
68,26.03,1712.79,0,3,0,0,0
63,102.22,5477.07,1,0,0,1,0
54,84.82,4677.35,0,4,0,0,0
44,98.18,4198.98,0,0,0,0,0
21,62.82,1155.41,2,0,1,0,0
30,83.79,2547.06,0,1,0,1,1
8,105.62,839.39,2,1,0,1,0
27,83.11,2247.69,0,3,0,1,0
67,54.77,3406.88,0,1,0,1,0
31,86.25,2729.47,0,2,0,1,1
8,87.19,650.65,0,0,0,0,1
47,116.06,5259.0,0,5,0,0,1
70,57.09,3397.37,0,2,0,0,0
63,62.51,3855.33,1,0,0,0,0
20,101.21,2011.32,2,2,0,1,0
33,70.58,2243.94,0,1,0,0,1
38,93.66,3378.68,0,2,0,1,0
18,65.97,1201.69,0,2,1,1,1
19,41.55,778.61,1,1,0,0,0
17,94.52,1455.18,1,0,0,1,0
72,33.12,2484.35,0,2,1,1,0
54,39.86,2134.04,0,1,0,1,0
61,82.68,5283.49,0,2,0,1,0
59,94.73,5836.4,0,2,0,1,1
70,109.47,7921.77,0,1,0,1,0
7,47.26,331.18,2,2,0,1,0
64,31.07,1932.58,0,0,0,0,0
4,115.6,408.96,0,2,0,1,1
34,35.44,1155.16,0,2,1,1,0
43,39.77,1715.37,1,3,0,0,0
26,49.13,1218.84,0,1,0,0,0
10,72.94,746.65,0,3,0,0,1
14,108.28,1321.78,0,1,0,0,0
60,96.05,5337.62,1,1,0,0,1
23,90.82,1986.91,0,2,0,0,1
22,37.52,773.0,2,3,0,1,0
67,55.77,3257.25,0,0,1,1,0
10,67.84,597.47,0,1,0,1,1
66,34.74,2333.02,2,1,0,0,0
67,47.34,3003.29,2,2,0,1,0
43,50.83,1879.13,0,2,0,0,1
12,32.73,335.14,2,2,0,0,0
11,75.02,779.58,0,3,0,1,1
20,90.5,1598.01,0,0,0,1,0
42,26.99,1123.41,2,0,0,1,0
11,68.11,756.0,1,3,1,1,0
33,98.22,2903.06,0,3,0,1,1
8,94.8,734.46,1,1,0,1,1
39,101.51,3487.34,0,0,0,1,1
1,64.82,59.03,0,2,0,0,1
51,102.06,5349.55,2,2,1,0,0
4,44.08,169.06,0,2,0,1,0
14,56.08,806.46,1,2,0,1,0
12,37.64,404.28,1,2,1,0,0
60,66.75,3668.6,1,3,0,0,0
3,59.21,167.72,0,2,0,0,1
31,44.09,1293.01,2,1,0,0,0
43,95.18,4295.45,1,2,0,0,0
37,51.38,1659.41,1,2,0,1,1
49,47.28,2363.96,0,1,1,0,1
58,33.09,1962.86,0,1,0,0,0
28,63.88,1718.24,0,3,0,0,0
60,50.3,2772.96,0,2,0,1,0
23,56.93,1248.96,0,4,0,0,0
71,43.6,2812.33,1,4,0,0,0
36,96.32,3501.58,2,1,0,1,0
53,113.0,5687.49,0,0,0,1,1
63,69.79,4551.4,0,4,0,0,1
57,84.3,4682.75,1,2,0,1,0
62,106.72,6304.76,0,2,0,0,0
39,119.88,4638.92,2,1,0,1,0
3,81.35,232.04,0,2,0,0,1
35,108.98,3932.17,0,0,0,1,1
13,110.86,1278.17,0,4,1,1,1
64,99.15,6629.06,2,2,0,1,0
17,66.09,1137.5,0,2,0,1,0
16,28.12,459.88,1,2,0,0,0
18,21.58,367.69,0,2,0,1,0
46,67.72,3169.45,0,2,1,0,1
41,69.43,2594.29,2,0,0,0,0
69,60.74,4201.08,0,1,0,1,0
30,76.82,2023.65,0,0,0,1,0
20,75.22,1371.13,0,5,0,1,1
3,103.66,292.06,2,3,1,1,1
0,30.87,0.0,0,1,1,1,1
27,42.52,1064.7,0,1,0,1,1
67,99.3,6746.38,2,2,0,1,0
38,104.78,3588.79,1,0,0,1,0
65,119.48,7758.87,2,1,0,0,0
7,107.29,649.45,1,2,1,1,1
6,108.99,656.0,1,1,0,1,1
60,51.43,3111.74,0,0,1,1,1
7,60.17,391.85,0,5,0,0,1
3,46.81,139.66,1,2,0,0,1
29,80.63,2415.5,1,3,0,0,1
67,113.88,7707.35,2,1,0,0,0
50,54.46,2527.19,1,2,0,1,0
7,75.7,501.73,0,0,0,0,1
61,49.63,3045.21,0,1,0,0,1
61,36.98,2049.42,1,2,0,1,0
58,39.52,2316.86,0,1,0,0,0
65,25.79,1534.89,1,3,1,0,1
17,114.93,1975.69,1,2,0,1,0
71,60.29,3712.81,0,2,0,1,0
23,103.41,2042.78,1,1,0,1,1
58,88.13,5364.74,1,2,0,1,0
42,39.19,1685.3,2,1,1,1,0
56,37.55,2158.67,0,4,0,0,1
45,101.2,4737.33,1,1,0,1,1
46,46.47,2004.37,0,0,0,1,0
44,111.33,4444.76,0,2,0,1,1
56,34.01,1668.4,0,0,0,0,0
53,87.77,4420.34,2,1,0,0,0
9,101.45,816.28,2,1,0,0,1
60,43.53,2708.72,0,0,1,1,0
39,47.62,1580.09,1,2,0,1,1
23,116.45,2353.3,0,2,0,0,1
37,46.46,1545.91,1,3,0,1,0
70,63.0,3923.98,0,3,0,1,0
62,63.25,3510.35,1,2,0,1,0
60,45.3,2666.93,0,2,0,0,0
33,97.58,2948.05,1,1,0,1,1
57,97.18,5389.73,0,1,0,1,0
28,57.83,1664.66,1,4,0,1,1
50,103.51,5022.88,1,4,0,1,0
46,41.31,1879.18,0,0,0,1,1
18,20.43,339.46,0,1,0,0,0
19,77.12,1292.3,2,0,1,1,0
4,119.41,436.62,1,1,0,0,1
10,23.86,248.83,0,1,0,1,1
31,40.8,1232.37,0,2,0,1,0
34,71.89,2213.28,0,1,0,1,0
12,100.99,1139.39,1,2,0,1,1
30,28.9,881.83,1,2,0,0,1
44,59.52,2576.16,0,3,0,0,1
16,94.71,1457.97,1,1,0,1,1
24,57.15,1408.68,1,0,0,0,0
26,38.88,995.2,1,2,0,0,0
36,39.55,1393.25,0,1,0,1,0
26,61.0,1408.29,0,1,0,0,1
53,67.94,3137.31,0,0,1,0,0
23,106.18,2547.22,0,0,0,0,1
31,84.23,2532.2,0,2,1,1,1
27,89.04,2243.34,0,0,0,0,0
13,118.3,1488.39,0,3,0,1,0
50,61.18,2637.97,1,3,0,1,1
17,60.34,1040.58,0,2,0,0,1
21,112.33,2107.3,1,2,0,0,0
57,44.59,2569.36,0,3,0,0,0
69,92.98,6138.95,1,1,0,1,0
48,95.46,4148.22,0,1,0,0,0
66,29.78,1682.53,1,1,1,0,0
62,66.82,4197.39,1,0,0,0,0
35,40.06,1241.27,0,2,1,0,0
56,38.54,1856.87,1,1,0,1,0
23,66.38,1528.53,0,2,0,0,1
33,48.94,1485.83,1,2,0,1,1
39,99.61,3604.57,0,2,0,0,0
70,110.76,6973.33,0,1,0,1,1
61,100.27,6250.03,0,0,0,1,0
35,46.6,1483.34,2,2,0,0,0
47,47.41,1987.7,0,1,0,1,0
14,45.47,580.47,1,2,1,1,1
58,33.5,1730.49,0,2,0,1,0
40,114.38,4179.59,0,2,0,1,0
38,60.2,1982.4,0,2,0,1,0
55,42.47,2059.53,2,0,0,0,0
46,104.67,4494.2,1,4,0,1,1
5,59.92,307.36,0,0,0,0,1
21,23.51,425.31,1,3,0,1,1
12,36.19,387.61,0,0,0,1,1
53,83.93,4589.16,0,1,0,1,0
2,98.29,202.08,0,0,0,1,1
14,41.09,567.14,0,2,0,0,0
43,111.74,4315.18,0,0,1,1,1
50,105.1,4907.97,1,0,0,0,0
36,104.84,3367.54,0,2,0,1,0
62,42.77,2322.18,2,1,0,1,0
67,25.05,1554.15,1,0,0,0,0
